crop,calendar
wheat,"Buğday: (Kışlık) için Eylül sonu - Kasım arası, (Yazlık) ise don tehlikesi geçtikten sonra Şubat - Mart aylarında."
barley,"Arpa: Kışlık arpa olarak Ekim ortası - Kasım aylarında ekimi tavsiye edilir."
olive,"Zeytin: Fidan dikimi genelde don tehlikesi geçtikten sonra Şubat - Mart (kurak bölgelerde sonbaharda) yapılır."
fig,"İncir: Uykuda olduğu kış sonu (Şubat-Mart) dikim için idealdir."
citrus,"Narenciye: İlkbaharda don riski bitince (Mart-Nisan) dikimi daha emniyetlidir."
mango,"Mango: Sıcacık ve ilkbahar yağış başlangıcı / tropikal mevsim dönümleri."
chickpea,"Nohut: İlkbaharda (Mart sonu-Nisan) toprak ısındıktan sonra ekilir."
lentil,"Mercimek: Kışlık mercimek için Ekim, yazlık için Şubat-Mart uygundur."
grape,"Üzüm/Bağ: Fidan (çelik) dikimi kış dinlenmesinde, Şubat ya da Mart ayında yapılmalıdır."
cotton,"Pamuk: Toprak sıcaklığı 15 derece civarındayken, Nisan ortasından Mayıs başına kadar ekilir."
tomato,"Domates: İlkbaharda don tehlikesi tamamen geçtikten sonra fideler toprağa dikilir."
potato,"Patates: Toprak sıcaklığı 8-10 dereceyi bulduğunda (genelde Mart-Nisan) ekilir."
maize,"Mısır: İlkbaharda toprak yeterince ısındığında (Nisan ortası-Mayıs) ekilir."
